PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0BVOy,r1bqk2r/pp1pbp1p/2p2p2/4P1B1/2B5/2P2Q2/P4PPP/R3K2R b KQkq - 0 12,f6g5 f3f7,520,88,93,150,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/zziry54n/black#24,Four_Knights_Game Four_Knights_Game_Italian_Variation
0BVPw,8/1p6/p1p1k1p1/P1P1Pp1p/KP1ppP1P/4P1P1/8/8 w - - 0 44,e3d4 e4e3 a4b3 e3e2,1034,85,94,1304,advancedPawn crushing endgame pawnEndgame short,https://lichess.org/YQeRSBjF#87,
0BVS4,1nbq1rk1/3r1p1p/p3p1p1/1pp1P3/4B3/2N2Q2/PPP2PPP/3R1RK1 w - - 2 16,e4c6 b8c6 f3c6 b5b4 d1d7 c8d7 c6c5 b4c3,2368,86,38,42,advantage middlegame veryLong,https://lichess.org/tsMd44ic#31,Pirc_Defense Pirc_Defense_Byrne_Variation
0BVTL,5qk1/2pr3p/1p3ppb/pP1Np3/2PnP3/1P4BP/Q4PP1/3R2K1 w - - 2 31,d5c7 d4f3 g2f3 d7d1,1706,75,91,461,crushing discoveredAttack kingsideAttack master middlegame short,https://lichess.org/yJ8XygpJ#61,
0BVUa,3r1rk1/p3q1pp/1p6/5p2/1P1Bp3/P2nP1Q1/5PPP/3R1RK1 b - - 0 21,d8d6 d4g7 d6g6 g7f8,1898,75,94,11752,crushing middlegame short,https://lichess.org/t0BLFUse/black#42,
0BVWw,2r3k1/4qp1p/6p1/pP1p4/P7/8/5PPP/4R1K1 w - - 0 33,e1e7 c8c1 e7e1 c1e1,591,112,79,281,backRankMate endgame master mate mateIn2 rookEndgame short,https://lichess.org/Rh0buvjT#65,
0BVYd,8/5B2/8/2kP2P1/2Pn4/5p1p/5K2/8 w - - 0 55,g5g6 h3h2 g6g7 h2h1q g7g8q h1h2,1755,76,84,68,advancedPawn crushing endgame long master promotion,https://lichess.org/jt5YZqAQ#109,
0BVjV,8/8/8/1K4p1/1P2Pk2/8/1PP5/8 w - - 1 46,b5c5 g5g4 c5c6 g4g3 b4b5 g3g2 b5b6 g2g1q,997,82,89,556,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/6mZmLZe4#91,
0BVpu,r5k1/pppN2pp/2n4r/5p2/8/3P3q/PPP1BP1N/R2Q1R1K w - - 5 20,e2h5 h6h5 d1h5 h3h5,1041,82,73,68,crushing middlegame short,https://lichess.org/F2CJzPjM#39,
0BVuL,r1b1k2r/pppp1pp1/7p/8/1bP5/4qN1P/PP1NB1P1/R2Q1K1R w kq - 0 13,d1b3 b4d2 f3d2 e3d2,1433,75,100,259,advantage master middlegame short,https://lichess.org/fbekrJAS#25,Indian_Defense Indian_Defense_Budapest_Defense
0BW44,5r1k/2PR3p/8/4Q3/5p1b/4p1qP/P5P1/5K2 b - - 3 35,h4f6 e5f6 f8f6 c7c8q g3g8 d7d8 g8d8 c8d8,2019,75,92,1612,advancedPawn crushing deflection endgame pin promotion veryLong,https://lichess.org/K19PwXcy/black#70,
0BW4M,1rR3k1/6pp/4p3/P3PpN1/3P4/r2b4/5PPP/2R3K1 b - - 1 25,b8c8 c1c8,575,98,60,59,endgame mate mateIn1 oneMove,https://lichess.org/gnYIp7tC/black#50,
0BW8p,r6r/1b2qpkp/1p4p1/p3n3/3Np2R/1BP1P1P1/PP3QP1/1K3R2 b - - 7 27,b7a6 d4c6 a6f1 c6e7,2225,125,77,19,crushing middlegame short,https://lichess.org/s6RVxXxU/black#54,
0BW9g,4R3/r5pp/1p1k1p2/3p4/3K1P2/1P4P1/7P/8 b - - 3 31,a7e7 e8e7 d6e7 d4d5,1481,74,89,351,crushing endgame rookEndgame short,https://lichess.org/8vCqOxuk/black#62,
0BWBA,1r1q2k1/p1p2pp1/2Qp3p/8/5P2/1P4P1/P1P3P1/4R1K1 b - - 0 22,b8b6 e1e8 d8e8 c6e8,1085,84,84,224,crushing endgame fork short,https://lichess.org/S9SVKePz/black#44,
0BWCC,2r1k2r/npqbb1p1/4ppp1/p2pP1N1/3P4/P1N1BQ2/1P3PPP/1R3RK1 w k - 0 17,e5f6 c7h2,1467,76,97,4814,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/9Wa3Yzzt#33,French_Defense French_Defense_Advance_Variation
0BWE6,2rrR2k/1b4p1/p6p/3p2q1/8/2P5/PPB1Q1PP/4R1K1 b - - 3 33,d8e8 e2e8 c8e8 e1e8,954,151,65,23,mate mateIn2 middlegame short,https://lichess.org/I4GoLGpL/black#66,
